215 Indian River Monday to Friday
Phibbs Exchange Bay 10,Inlet Cres. at Indian River (E)
6:35,6:51
6:50,7:06
7:05,7:21
7:20,7:36
7:35,7:51
7:45,8:02
8:05,8:22
8:20,8:37
8:35,8:52
8:50,9:07
9:05,9:20
9:35,9:50
10:05,10:20
10:32,10:47
11:05,11:20
11:35,11:50
12:05,12:20
12:35,12:50
1:07,1:22
1:35,1:50
2:05,2:20
2:35,2:51
3:05,3:21
3:20,3:36
3:35,3:51
3:50,4:06
4:05,4:21
4:20,4:36
4:35,4:50
4:50,5:05
5:05,5:20
5:20,5:36
5:35,5:51
5:50,6:06
6:05,6:21
6:20,6:36
6:35,6:50
7:05,7:20
7:35,7:50
8:46,9:01
9:46,10:01
10:45,11:00
