222 Metrotown Station / Phibbs Exchange Monday to Friday
Phibbs Exchange Bay 7, Brentwood Station (E) Bay 7, Metrotown Station (E)
6:01,6:15,6:25
6:13,6:27,6:37
6:25,6:40,6:51
6:36,6:51,7:02
6:48,7:03,7:14
7:00,7:15,7:27
7:10,7:25,7:37
7:18,7:35,7:47
7:27,7:44,7:56
7:36,7:53,8:06
7:44,8:01,8:14
7:52,8:09,8:21
7:59,8:16,8:28
8:04,8:22,8:35
8:10,8:28,8:41
8:16,8:34,8:47
8:23,8:41,8:54
8:30,8:48,9:02
8:37,8:55,9:09
8:44,9:02,9:16
8:52,9:10,9:24
2:34,2:54,3:08
2:42,3:02,3:16
2:49,3:09,3:24
2:58,3:18,3:33
3:06,3:27,3:42
3:14,3:35,3:50
3:21,3:42,3:57
3:29,3:50,4:05
3:36,3:57,4:12
3:44,4:05,4:20
3:51,4:12,4:27
3:59,4:20,4:35
4:06,4:27,4:43
4:13,4:34,4:50
4:20,4:41,4:57
4:31,4:52,5:08
4:36,4:57,5:13
4:43,5:04,5:20
4:49,5:10,5:26
4:58,5:19,5:35
5:05,5:26,5:41
5:13,5:34,5:49
5:21,5:42,5:57
5:28,5:49,6:04
5:37,5:57,6:12
5:51,6:09,6:23
5:57,6:15,6:29
6:12,6:30,6:44
