222 Metrotown Station / Phibbs Exchange Monday to Friday
Metrotown Station Bay 5, Brentwood Station (E) Bay 1, Phibbs Exchange (E)
6:01, 6:10, 6:25
6:13, 6:22, 6:37
6:25, 6:34, 6:49
6:36, 6:46, 7:01
6:46, 6:56, 7:11
6:56, 7:06, 7:21
7:04, 7:15, 7:31
7:10, 7:21, 7:37
7:16, 7:27, 7:45
7:22, 7:33, 7:51
7:28, 7:39, 7:57
7:34, 7:46, 8:05
7:40, 7:52, 8:11
7:46, 7:58, 8:17
7:52, 8:04, 8:23
7:58, 8:10, 8:29
8:04, 8:16, 8:34
8:10, 8:22, 8:40
8:16, 8:28, 8:47
8:22, 8:34, 8:53
8:28, 8:40, 8:59
8:34, 8:46, 9:04
8:40, 8:52, 9:10
8:46, 8:58, 9:16
8:52, 9:04, 9:22
8:59, 9:11, 9:29
9:08, 9:20, 9:38
2:38, 2:50, 3:08
2:58, 3:10, 3:28
3:14, 3:26, 3:44
3:23, 3:35, 3:53
3:30, 3:42, 4:01
3:39, 3:51, 4:10
3:47, 3:59, 4:18
3:55, 4:07, 4:26
4:02, 4:15, 4:34
4:10, 4:23, 4:42
4:17, 4:30, 4:49
4:25, 4:38, 4:57
4:32, 4:45, 5:04
4:41, 4:54, 5:13
4:48, 5:01, 5:20
4:56, 5:09, 5:28
5:02, 5:15, 5:35
5:13, 5:26, 5:46
5:16, 5:29, 5:48
5:25, 5:38, 5:57
5:32, 5:45, 6:04
5:40, 5:53, 6:12
5:47, 5:59, 6:17
5:57, 6:09, 6:27
6:07, 6:18, 6:36
6:17, 6:28, 6:46
