228 Lonsdale Quay / Lynn Valley Monday to Friday
Underwood at Evelyn #53989,Lynn Valley Bay 2,Grand Blvd at 15 St #54020,3 St at Moody (E) #53961,Lonsdale Quay (E)
5:12,5:18,5:24,5:29,5:35
5:47,5:53,5:59,6:04,6:10
6:05,6:11,6:17,6:22,6:28
6:31,6:37,6:43,6:48,6:55
6:47,6:53,6:59,7:04,7:11
7:00,7:07,7:13,7:18,7:25
7:14,7:21,7:27,7:32,7:39
7:28,7:35,7:42,7:48,7:56
7:45,7:52,7:59,8:05,8:12
7:59,8:06,8:13,8:19,8:26
8:15,8:23,8:30,8:36,8:43
8:37,8:44,8:51,8:57,9:04
8:48,8:55,9:02,9:08,9:15
9:15,9:22,9:29,9:35,9:42
9:45,9:52,9:59,10:05,10:12
10:15,10:22,10:29,10:35,10:42
10:45,10:52,11:00,11:06,11:13
11:14,11:21,11:29,11:35,11:42
11:43,11:50,11:58,12:04,12:12
12:13,12:20,12:28,12:34,12:42
12:43,12:50,12:58,1:04,1:12
1:14,1:21,1:29,1:35,1:43
1:44,1:51,1:59,2:05,2:13
2:13,2:20,2:28,2:34,2:43
2:42,2:50,2:58,3:04,3:13
3:13,3:21,3:30,3:36,3:45
3:41,3:49,3:58,4:04,4:13
3:55,4:02,4:11,4:17,4:26
4:14,4:21,4:29,4:35,4:44
4:27,4:34,4:42,4:48,4:56
4:44,4:51,4:59,5:05,5:13
4:57,5:04,5:12,5:18,5:26
5:14,5:21,5:29,5:35,5:43
5:28,5:35,5:43,5:49,5:57
5:47,5:53,6:00,6:06,6:13
6:01,6:07,6:14,6:20,6:27
6:18,6:24,6:31,6:36,6:43
6:34,6:40,6:47,6:52,6:59
6:48,6:54,7:01,7:06,7:13
7:03,7:09,7:16,7:21,7:28
7:20,7:26,7:32,7:37,7:43
7:34,7:40,7:46,7:51,7:57
8:04,8:10,8:16,8:21,8:27
8:33,8:39,8:45,8:50,8:56
9:04,9:10,9:16,9:20,9:26
9:34,9:40,9:46,9:50,9:56
10:04,10:10,10:16,10:20,10:26
10:34,10:40,10:46,10:50,10:56
11:07,11:12,11:17,11:21,11:26
11:37,11:42,11:47,11:51,11:56
12:07,12:12,12:17,12:21,12:26
12:37,12:42,12:47,12:51,12:56
1:07,1:12,1:17,1:21,1:26
1:28,1:32,1:37,-,-
2:04,2:08,2:13,-,-
