229 Lonsdale Quay / Lynn Valley Monday to Friday
Lynn Valley Bay 1,Lonsdale Ave at 29 St #54248,Lonsdale Ave at 15 St #54254,Lonsdale Quay (E)
5:34,5:43,5:49,5:56
6:05,6:14,6:20,6:27
6:31,6:40,6:46,6:53
6:47,6:56,7:02,7:09
6:59,7:08,7:14,7:21
7:14,7:24,7:31,7:39
7:41,7:51,7:58,8:06
7:43,7:54,8:01,8:09
7:58,8:09,8:16,8:24
8:30,8:41,8:48,8:56
9:00,9:10,9:18,9:26
9:31,9:41,9:49,9:57
10:00,10:10,10:18,10:26
10:29,10:39,10:47,10:55
10:59,11:09,11:17,11:25
11:29,11:39,11:47,11:56
11:58,12:08,12:16,12:25
12:28,12:38,12:46,12:55
12:57,1:07,1:15,1:24
1:26,1:36,1:44,1:53
1:55,2:05,2:13,2:22
2:19,2:29,2:37,2:46
2:36,2:46,2:54,3:03
2:55,3:05,3:15,3:25
3:09,3:19,3:29,3:39
3:33,3:44,3:54,4:05
3:54,4:05,4:13,4:24
4:11,4:22,4:30,4:41
4:26,4:37,4:45,4:56
4:42,4:53,5:01,5:11
4:56,5:07,5:15,5:25
5:12,5:23,5:31,5:40
5:23,5:34,5:42,5:51
5:39,5:49,5:57,6:06
5:59,6:09,6:17,6:26
6:14,6:23,6:30,6:39
6:31,6:40,6:47,6:56
6:46,6:55,7:02,7:10
6:58,7:07,7:14,7:22
7:16,7:25,7:31,7:39
7:34,7:43,7:49,7:57
8:05,8:14,8:20,8:27
8:36,8:44,8:50,8:57
9:06,9:14,9:20,9:27
9:36,9:44,9:50,9:57
10:05,10:13,10:19,10:25
10:35,10:43,10:49,10:55
11:06,11:14,11:19,11:25
11:36,11:44,11:49,11:55
12:34,12:42,12:47,12:53
