229 Lonsdale Quay / Lynn Valley Monday to Friday
Lonsdale Quay Bay 1,Lonsdale Ave at 15 St #54197,29 St at Lonsdale Ave #54203,Lynn Valley Bay 1(E)
6:02,6:10,6:16,6:22
6:32,6:40,6:46,6:52
7:02,7:10,7:16,7:22
7:32,7:40,7:46,7:53
8:02,8:11,8:18,8:25
8:31,8:40,8:47,8:55
9:02,9:12,9:19,9:26
9:31,9:41,9:48,9:55
10:17,10:27,10:34,10:41
10:47,10:58,11:05,11:12
11:17,11:28,11:35,11:42
11:47,11:58,12:06,12:13
12:17,12:28,12:36,12:43
12:47,12:58,1:06,1:13
1:17,1:28,1:36,1:43
1:47,1:58,2:06,2:14
2:03,2:14,2:22,2:30
2:32,2:43,2:51,2:59
2:55,3:06,3:14,3:22
3:17,3:28,3:37,3:45
3:32,3:43,3:51,3:59
3:51,4:02,4:10,4:18
4:02,4:13,4:21,4:28
4:21,4:32,4:40,4:47
4:41,4:51,4:59,5:06
4:52,5:02,5:10,5:17
5:05,5:15,5:23,5:30
5:24,5:35,5:43,5:50
5:41,5:52,6:00,6:07
5:51,6:01,6:08,6:15
6:13,6:23,6:30,6:37
6:23,6:33,6:40,6:47
6:36,6:45,6:52,6:59
6:51,7:00,7:07,7:14
7:06,7:15,7:22,7:29
7:23,7:32,7:39,7:46
7:37,7:46,7:53,8:00
7:53,8:02,8:09,8:16
8:08,8:17,8:23,8:30
8:23,8:32,8:38,8:45
8:36,8:44,8:50,8:57
9:05,9:13,9:19,9:26
9:35,9:43,9:49,9:56
10:05,10:13,10:19,10:25
10:35,10:43,10:49,10:55
11:05,11:13,11:19,11:25
11:35,11:43,11:49,11:55
12:05,12:12,12:17,12:23
1:05,1:11,1:16,1:22
