230 Upper Lonsdale/Lonsdale Quay Monday to Friday
Prospect at Rockland #54272,Lonsdale at 15 St #54254,Lonsdale Quay (E)
5:57,6:05,6:11
6:14,6:22,6:28
6:48,6:57,7:04
7:08,7:18,7:25
7:25,7:35,7:42
7:39,7:49,7:56
7:54,8:04,8:11
8:06,8:18,8:26
8:19,8:31,8:39
8:47,9:01,9:12
9:20,9:32,9:42
9:51,10:02,10:12
10:21,10:32,10:42
10:51,11:02,11:12
11:19,11:30,11:40
11:48,12:00,12:11
12:18,12:30,12:41
12:49,1:01,1:10
1:18,1:31,1:40
1:50,2:03,2:12
2:19,2:32,2:41
2:52,3:05,3:14
3:22,3:36,3:45
3:53,4:05,4:13
4:06,4:18,4:26
4:23,4:35,4:43
4:38,4:50,4:58
4:52,5:04,5:14
5:06,5:18,5:28
5:21,5:33,5:41
5:36,5:48,5:56
5:51,6:03,6:11
6:06,6:18,6:26
6:39,6:50,6:57
7:08,7:18,7:25
7:38,7:48,7:55
8:08,8:18,8:25
8:38,8:48,8:55
9:09,9:18,9:25
10:09,10:18,10:25
11:10,11:18,11:25
12:11,12:18,12:23
1:11,1:18,1:23
