230 Upper Lonsdale/Lonsdale Quay Monday to Friday
Lonsdale Quay Bay 8,Lonsdale at 15 St #54197,Osborne at Lonsdale (E),Prospect at Rockland (E)
5:29,5:36,5:41,5:49,5:57
5:48,5:55,6:00,6:06,6:14
6:16,6:23,6:28,6:40,6:48
6:38,6:46,6:52,6:59,7:08
6:47,6:55,7:01,7:16,7:25
7:08,7:17,7:23,7:29,7:39
7:17,7:26,7:32,7:44,7:54
7:31,7:41,7:47,7:57,8:06
7:47,7:57,8:03,8:10,8:19
8:16,8:25,8:32,8:38,8:47
8:48,8:57,9:04,9:06,9:15
9:17,9:27,9:34,9:36,9:45
9:49,9:59,10:05,10:07,10:16
10:03,10:14,10:21,10:23,10:32
10:32,10:43,10:50,10:53,11:02
11:02,11:14,11:21,11:24,11:33
11:32,11:44,11:51,11:54,12:03
12:02,12:14,12:21,12:24,12:33
12:31,12:43,12:48,12:49,1:00
1:03,1:13,1:18,1:19,1:31
1:33,1:43,1:48,1:49,2:01
2:17,2:27,2:33,2:34,2:47
2:47,2:57,3:03,3:04,3:17
3:18,3:28,3:34,3:35,3:48
3:31,3:42,3:47,3:48,4:01
3:48,3:59,4:04,4:05,4:18
4:03,4:14,4:19,4:20,4:33
4:17,4:28,4:33,4:34,4:47
4:32,4:43,4:48,4:49,5:01
4:47,4:58,5:03,5:04,5:16
5:02,5:13,5:18,5:19,5:31
5:17,5:28,5:33,5:34,5:46
5:33,5:44,5:49,5:50,6:01
5:52,6:03,6:08,6:09,6:20
6:02,6:13,6:18,6:19,6:30
6:06,6:17,6:22,6:23,6:34
6:22,6:33,6:38,6:39,6:50
6:32,6:43,6:48,6:49,7:00
6:52,7:03,7:08,7:08,7:19
7:01,7:12,7:17,7:17,7:28
7:33,7:43,7:48,7:48,7:59
8:03,8:12,8:17,8:17,8:28
8:33,8:42,8:47,8:47,8:58
9:02,9:11,9:15,9:16,9:26
9:33,9:42,9:46,9:47,9:57
10:33,10:41,10:45,10:46,10:56
11:32,11:40,11:44,11:45,11:55
12:32,12:40,12:44,12:45,12:55
