232 Grouse Mountain/Phibbs Exchange Monday to Friday
Phibbs Exchange Bay 4,Keith Rd at Grand Blvd #54343,Lonsdale at 15 St #54197,Grouse Mountain (E)
5:25,5:33,5:40,5:59
5:53,6:01,6:08,6:27
6:20,6:29,6:36,6:56
6:47,6:56,7:03,7:25
7:15,7:24,7:31,7:55
7:45,7:55,8:03,8:29
8:18,8:28,8:36,9:02
8:48,8:58,9:06,9:30
9:18,9:28,9:36,9:58
9:47,9:57,10:05,10:27
10:18,10:28,10:36,10:58
10:47,10:57,11:05,11:28
11:20,11:31,11:39,12:05
11:50,12:02,12:10,12:36
12:20,12:32,12:40,1:06
12:50,1:02,1:10,1:36
1:20,1:32,1:40,2:06
1:50,2:02,2:10,2:36
2:18,2:29,2:37,3:03
2:50,3:01,3:09,3:35
3:20,3:31,3:39,4:05
3:50,4:03,4:11,4:37
4:20,4:33,4:41,5:07
4:48,5:00,5:08,5:34
5:19,5:30,5:38,6:03
5:47,5:58,6:06,6:31
6:19,6:30,6:37,7:00
6:49,6:58,7:05,7:28
7:19,7:28,7:34,7:57
7:49,7:58,8:04,8:27
8:19,8:28,8:34,8:56
8:49,8:58,9:04,9:26
9:19,9:27,9:33,9:54
9:49,9:57,10:03,10:24
