232 Grouse Mountain/Phibbs Exchange Monday to Friday
Grouse Mountain #54290, Edgemont at Ridgewood #54307, Lonsdale at 15 St #54254, Phibbs Exchange (E)
-,-,5:47+,5:58,6:13
6:06,6:15,6:26,6:41
6:32,6:41,6:52,7:08
7:02,7:12,7:26,7:44
7:30,7:40,7:55,8:13
8:02,8:12,8:26,8:44
8:34,8:44,8:58,9:15
9:05,9:15,9:30,9:46
9:32,9:42,9:57,10:13
10:04,10:14,10:29,10:45
10:33,10:43,10:58,11:15
11:03,11:13,11:29,11:46
11:31,11:41,11:57,12:15
11:59,12:09,12:25,12:43
12:24,12:34,12:49,1:07
12:53,1:03,1:19,1:37
1:23,1:33,1:49,2:07
1:53,2:03,2:19,2:36
2:23,2:33,2:50,3:10
2:51,3:01,3:22,3:45
3:21,3:31,3:50,4:12
3:51,4:01,4:19,4:39
4:21,4:31,4:49,5:08
4:51,5:01,5:19,5:38
5:21,5:31,5:48,6:07
5:58,6:08,6:24,6:43
6:36,6:45,7:01,7:17
7:05,7:14,7:28,7:43
7:33,7:42,7:55,8:10
8:03,8:12,8:25,8:40
8:33,8:41,8:53,9:08
9:03,9:11,9:23,9:38
9:33,9:41,9:53,10:08
10:03,10:11,10:22,10:37
10:33,10:41,10:52,11:07
