236 Grouse Mountain/Lonsdale Quay Monday to Friday
Lonsdale Quay Bay 6, 22 St at Philip (E) #54390, 22 St at Philip (E) #54389, Capilano Suspension Bridge #54304, Grouse Mountain (E)
6:32,-,6:44,6:50,6:57
7:32,-,7:43,7:49,7:56
-,-,8:09*,8:15,8:22
8:37,-,8:48,8:54,9:01
9:02,-,9:13,9:19,9:26
9:23,-,9:34,9:40,9:47
9:55,-,10:06,10:12,10:19
10:25,-,10:36,10:42,10:49
10:55,-,11:06,11:12,11:19
11:25,-,11:37,11:43,11:50
11:56,-,12:09,12:15,12:23
12:23,-,12:36,12:42,12:50
12:53,-,1:06,1:12,1:20
1:23,-,1:36,1:42,1:50
1:53,-,2:06,2:13,2:21
2:22,-,2:35,2:42,2:50
2:53,-,3:06,3:13,3:21
3:08,-,3:21,3:28,3:36
3:23,-,3:36,3:43,3:51
3:41,-,3:54,4:01,4:09
3:54,-,4:07,4:14,4:22
4:12,-,4:25,4:32,4:40
4:24,-,4:37,4:44,4:52
4:42,-,4:55,5:02,5:09
4:55,-,5:08,5:15,5:22
5:11,-,5:25,5:32,5:39
5:25,-,5:39,5:46,5:53
5:41,-,5:54,6:01,6:08
5:54,-,6:07,6:13,6:20
6:05,-,6:18,6:24,6:31
6:22,-,6:35,6:41,6:48
6:42,-,6:54,7:00,7:07
7:02,-,7:14,7:20,7:27
8:02,-,8:13,8:19,8:26
9:02,-,9:13,9:18,9:25
10:02,-,10:13,10:18,10:25
11:02,-,11:12,11:17,11:24
12:02,-,12:12,12:17,12:24
