236 Grouse Mountain/Lonsdale Quay Monday to Friday
Grouse Mountain #54290, Capilano Suspension Bridge #54397, 22 St at Philip (E) #54390, Lonsdale Quay (E)
-,-,6:13,6:26
7:01,7:08,7:12,7:26
7:29,7:37,7:42,7:56
8:00,8:07,8:11,8:25
8:40,8:47,8:51,9:05
9:10,9:17,9:22,9:37
9:25,9:32,9:37,9:52
9:55,10:02,10:07,10:22
10:25,10:32,10:36,10:50
10:55,11:02,11:06,11:20
11:24,11:31,11:36,11:51
11:57,12:04,12:09,12:24
12:28,12:36,12:41,12:56
12:56,1:04,1:09,1:24
1:27,1:35,1:40,1:55
1:57,2:05,2:10,2:25
2:27,2:35,2:40,2:55
2:55,3:04,3:10,3:26
3:12,3:21,3:27,3:43
3:27,3:36,3:42,3:58
3:42,3:50,3:56,4:12
3:56,4:04,4:10,4:26
4:14,4:22,4:27,4:43
4:27,4:35,4:40,4:56
4:42,4:50,4:55,5:11
4:57,5:05,5:10,5:26
5:12,5:20,5:25,5:41
5:27,5:35,5:40,5:56
5:44,5:52,5:57,6:12
5:58,6:06,6:11,6:26
6:13,6:21,6:26,6:40
6:29,6:37,6:42,6:56
6:59,7:06,7:11,7:25
7:33,7:40,7:44,7:57
8:34,8:41,8:45,8:58
9:34,9:41,9:45,9:56
10:34,10:41,10:45,10:56
11:32,11:39,11:42,11:52
12:30,12:37,12:40,12:50
