240 Downtown Monday to Friday
Lynn Valley Bay 1, Lynn Valley Bay 5, 15 St at Lonsdale #54464, Marine at McGuire #54440(E), Georgia at Homer(E)
-, 5.10, 5.19, 5.27, 5.44
-, 5.27, 5.36, 5.44, 6.01
-, 5.42, 5.51, 5.59, 6.16
-, 5.56, 6.05, 6.13, 6.30
-, 6.07, 6.17, 6.25, 6.42
-, 6.19, 6.29, 6.37, 6.54
-, 6.31, 6.41, 6.49, 7.06
-, 6.43, 6.53, 7.01, 7.18
-, 6.55, 7.05, 7.13, 7.30
-, 7.00, 7.11, 7.20, 7.38
-, 7.07, 7.18, 7.27, 7.45
-, 7.15, 7.26, 7.35, 7.54
-, 7.24, 7.35, 7.44, 8.03
-, 7.33, 7.44, 7.53, 8.12
-, 7.41, 7.52, 8.01, 8.20
-, 7.50, 8.01, 8.11, 8.31
-, 7.56, 8.07, 8.17, 8.37
-, 8.02, 8.15, 8.25, 8.46
-, 8.11, 8.24, 8.34, 8.55
-, 8.27, 8.40, 8.50, 9.10
-, 8.41, 8.53, 9.02, 9.20
-, 8.57, 9.09, 9.18, 9.37
-, 9.12, 9.23, 9.33, 9.53
-, 9.27, 9.38, 9.48, 10.08
-, 9.42, 9.53, 10.03, 10.23
-, 9.57, 10.08, 10.18, 10.38
-, 10.12, 10.23, 10.33, 10.54
-, 10.27, 10.38, 10.48, 11.09
-, 10.43, 10.53, 11.04, 11.25
-, 10.58, 11.08, 11.19, 11.40
-, 11.13, 11.23, 11.34, 11.55
-, 11.28, 11.38, 11.49, 12.10
-, 11.42, 11.53, 12.04, 12.25
-, 11.57, 12.08, 12.19, 12.40
-, 12.12, 12.23, 12.34, 12.55
-, 12.27, 12.38, 12.49, 1.10
-, 12.43, 12.53, 1.04, 1.25
-, 12.58, 1.08, 1.19, 1.40
-, 1.13, 1.23, 1.34, 1.55
-, 1.28, 1.38, 1.49, 2.10
-, 1.43, 1.53, 2.04, 2.25
-, 1.58, 2.08, 2.19, 2.40
-, 2.10, 2.20, 2.31, 2.52
-, 2.22, 2.32, 2.43, 3.04
-, 2.34, 2.45, 2.57, 3.21
-, 2.46, 2.57, 3.09, 3.33
-, 2.58, 3.09, 3.21, 3.45
-, 3.09, 3.22, 3.35, 4.01
-, 3.19, 3.31, 3.44, 4.10
-, 3.29, 3.41, 3.54, 4.20
-, 3.39, 3.50, 4.02, 4.27
-, 3.49, 4.00, 4.12, 4.37
-, 3.58, 4.09, 4.21, 4.46
-, 4.04, 4.15, 4.28, 4.53
-, 4.11, 4.22, 4.35, 5.00
-, 4.19, 4.30, 4.43, 5.08
-, 4.26, 4.37, 4.50, 5.15
-, 4.34, 4.45, 4.58, 5.23
-, 4.41, 4.52, 5.05, 5.30
-, 4.49, 5.00, 5.13, 5.38
-, 4.57, 5.08, 5.21, 5.46
-, 5.04, 5.15, 5.27, 5.50
-, 5.14, 5.25, 5.37, 6.00
-, 5.24, 5.35, 5.47, 6.10
-, 5.34, 5.45, 5.56, 6.18
-, 5.45, 5.56, 6.07, 6.29
-, 5.54, 6.05, 6.16, 6.38
-, 6.09, 6.20, 6.31, 6.52
-, 6.25, 6.36, 6.47, 7.08
-, 6.40, 6.50, 7.00, 7.20
-, 6.55, 7.05, 7.15, 7.34
-, 7.11, 7.20, 7.29, 7.47
-, 7.26, 7.35, 7.44, 8.02
-, 7.41, 7.50, 7.58, 8.15
-, 7.56, 8.05, 8.13, 8.30
-, 8.12, 8.20, 8.28, 8.44
-, 8.27, 8.35, 8.43, 8.59
-, 8.47, 8.55, 9.03, 9.19
9.05, 9.06, 9.15, 9.23, 9.39
9.25, 9.26, 9.35, 9.43, 9.59
9.45, 9.46, 9.55, 10.03, 10.19
10.10, 10.11, 10.20, 10.27, 10.42
10.40, 10.41, 10.50, 10.57, 11.12
11.10, 11.11, 11.19, 11.26, 11.41
11.40, 11.41, 11.49, 11.56, 12.11
12.08, 12.09, 12.17, 12.23, 12.36
