240 Lynn Valley Monday to Friday
Georgia at Homer, Marine at Capilano, 15 St at Lonsdale, Lynn Valley Bay 1 (E), Lynn Valley Bay 5 (E)
5:29,5:44,5:56,-,6:08
5:51,6:06,6:18,-,6:30
6:03,6:18,6:30,-,6:42
6:11,6:26,6:38,-,6:50
6:20,6:34,6:47,-,6:59
6:28,6:42,6:55,-,7:07
6:37,6:51,7:04,-,7:16
6:45,7:01,7:15,-,7:27
6:53,7:09,7:23,-,7:35
7:01,7:18,7:32,-,7:45
7:10,7:27,7:41,-,7:54
7:19,7:36,7:51,-,8:04
7:28,7:45,8:00,-,8:13
7:37,7:54,8:10,-,8:24
7:45,8:03,8:19,-,8:33
7:54,8:12,8:28,-,8:42
8:02,8:20,8:36,-,8:50
8:11,8:29,8:45,-,8:59
8:20,8:41,8:57,-,9:10
8:30,8:51,9:07,-,9:20
8:40,9:01,9:17,-,9:30
8:50,9:10,9:26,-,9:39
9:05,9:22,9:38,-,9:50
9:19,9:36,9:52,-,10:04
9:33,9:49,10:05,-,10:17
9:48,10:04,10:20,-,10:32
10:03,10:19,10:35,-,10:48
10:18,10:34,10:50,-,11:03
10:33,10:49,11:06,-,11:19
10:48,11:04,11:21,-,11:34
11:03,11:20,11:37,-,11:50
11:18,11:35,11:52,-,12:05
11:32,11:51,12:08,-,12:22
11:46,12:05,12:22,-,12:36
12:00,12:19,12:36,-,12:50
12:15,12:34,12:51,-,1:05
12:30,12:50,1:08,-,1:22
12:45,1:05,1:23,-,1:37
1:00,1:20,1:38,-,1:52
1:14,1:34,1:52,-,2:06
1:29,1:49,2:07,-,2:21
1:43,2:03,2:21,-,2:35
1:57,2:17,2:35,-,2:49
2:10,2:30,2:48,-,3:04
2:26,2:46,3:04,-,3:20
2:42,3:02,3:21,-,3:36
2:58,3:18,3:37,-,3:52
3:11,3:31,3:50,-,4:05
3:23,3:39,3:57,-,4:11
3:35,3:51,4:09,-,4:23
3:47,4:03,4:21,-,4:35
3:59,4:15,4:33,-,4:47
4:10,4:26,4:44,-,4:58
4:19,4:35,4:53,-,5:07
4:30,4:47,5:05,-,5:19
4:40,4:57,5:15,-,5:29
4:50,5:08,5:26,-,5:40
5:00,5:17,5:34,-,5:47
5:08,5:25,5:42,-,5:55
5:17,5:34,5:50,-,6:03
5:25,5:42,5:58,-,6:11
5:34,5:51,6:07,-,6:20
5:42,5:59,6:15,-,6:28
5:51,6:08,6:23,-,6:36
6:05,6:22,6:37,-,6:50
6:19,6:36,6:51,-,7:04
6:33,6:48,7:02,-,7:15
6:48,7:03,7:17,-,7:30
7:03,7:18,7:32,-,7:45
7:18,7:33,7:47,-,8:00
7:33,7:48,8:02,-,8:15
7:48,8:03,8:17,-,8:30
8:03,8:19,8:32,-,8:43
8:18,8:34,8:47,8:56,-
8:33,8:48,9:01,9:10,-
8:49,9:04,9:17,9:26,-
9:06,9:21,9:34,9:43,-
9:24,9:39,9:52,10:01,-
9:44,9:59,10:12,10:21,-
10:04,10:19,10:31,10:39,-
10:27,10:42,10:54,11:02,-
10:49,11:04,11:16,11:24,-
11:11,11:25,11:36,11:44,-
11:38,11:52,12:03,12:11,-
12:09,12:22,12:33,12:41,-
12:41,12:53,1:04,1:12,-
