241 Downtown/Upper Lonsdale Monday to Friday
Georgia at Homer, Marine at Capilano (E), Lonsdale at 15 St, Lonsdale at Osborne (E), Lonsdale at Carisbrooke (E)
-,-,6:27,6:33,-
-,-,6:35,6:41,-
-,-,6:52,6:58,-
-,-,7:07,7:13,-
-,-,7:37,7:43,-
3:35,3:55,4:08,4:16,4:21
3:57,4:17,4:30,4:38,4:43
4:07,4:27,4:40,4:48,4:53
4:17,4:37,4:50,4:58,5:03
4:36,4:56,5:09,5:17,5:22
4:53,5:14,5:27,5:35,5:40
5:14,5:35,5:48,5:55,6:00
5:39,5:59,6:11,6:18,6:23
5:53,6:12,6:25,6:32,6:37
6:09,6:27,6:39,6:45,6:50
6:30,6:48,7:00,7:06,7:11
6:54,7:12,7:24,7:30,7:35
7:19,7:37,7:49,7:55,8:00
