245 Capilano University
Phibbs Exchange Bay 2, Capilano University (E)
5:45, 5:54
6:00, 6:09
6:15, 6:24
6:30, 6:39
6:45, 6:54
7:00, 7:10
7:07, 7:17
7:14, 7:24
7:21, 7:31
7:28, 7:38
7:35, 7:45
7:42, 7:52
7:46, 7:56
7:50, 8:00
7:56, 8:06
8:00, 8:10
8:04, 8:14
8:08, 8:18
8:12, 8:22
8:16, 8:26
8:20, 8:30
8:24, 8:34
8:28, 8:38
8:33, 8:43
8:38, 8:48
8:43, 8:53
8:48, 8:58
8:53, 9:03
8:58, 9:08
9:05, 9:15
9:12, 9:22
9:20, 9:30
9:29, 9:39
9:37, 9:47
9:46, 9:56
9:54, 10:04
10:03, 10:13
10:11, 10:21
10:20, 10:30
10:28, 10:38
10:37, 10:47
10:45, 10:55
10:54, 11:04
11:03, 11:13
11:11, 11:21
11:20, 11:30
11:28, 11:38
11:37, 11:47
11:45, 11:55
11:54, 12:04
12:03, 12:13
12:11, 12:21
12:20, 12:30
12:28, 12:38
12:37, 12:47
12:45, 12:55
12:54, 1:04
1:03, 1:13
1:11, 1:21
1:20, 1:30
1:28, 1:38
1:37, 1:47
1:45, 1:55
1:54, 2:04
2:03, 2:14
2:11, 2:22
2:20, 2:31
2:28, 2:39
2:37, 2:48
2:45, 2:56
2:54, 3:05
3:03, 3:14
3:11, 3:22
3:20, 3:31
3:28, 3:39
3:37, 3:48
3:45, 3:56
3:54, 4:05
4:03, 4:14
4:12, 4:23
4:20, 4:31
4:27, 4:38
4:35, 4:46
4:42, 4:53
4:50, 5:01
4:57, 5:08
5:05, 5:16
5:12, 5:23
5:20, 5:31
5:27, 5:38
5:35, 5:46
5:42, 5:53
5:50, 6:01
6:02, 6:13
6:16, 6:27
6:31, 6:42
6:47, 6:58
7:01, 7:11
7:16, 7:26
7:31, 7:41
7:46, 7:56
8:01, 8:11
8:15, 8:25
8:30, 8:40
8:45, 8:55
9:00, 9:10
9:15, 9:25
9:30, 9:40
9:45, 9:55
10:00, 10:09
10:15, 10:24
10:45, 10:54
11:15, 11:24
11:45, 11:54
12:15, 12:24
12:45, 12:54
1:15, 1:24
