246 Downtown/Highland Monday to Friday
Montroyal at Glencanyon #54527, Edgemont at Ridgewood #58111, Marine at McGuire #54440 (E), Georgia at Homer (E)
5:40,5:48,5:55,-
6:13,6:22,6:28,6:44
6:35,6:44,6:50,7:06
6:49,6:58,7:04,7:21
7:05,7:14,7:20,7:37
7:20,7:29,7:35,7:52
7:29,7:38,7:44,8:01
7:40,7:49,7:55,8:12
7:54,8:03,8:09,8:28
8:12,8:21,8:27,8:46
8:24,8:34,8:40,8:57
8:44,8:54,9:00,9:17
9:12,9:21,9:28,9:47
9:42,9:51,9:57,10:16
10:11,10:20,10:26,10:45
10:26,10:35,10:41,11:00
11:00,11:09,11:16,11:37
11:30,11:39,11:46,12:07
11:56,12:05,12:12,12:33
12:26,12:35,12:43,1:05
12:56,1:05,1:12,1:33
1:25,1:34,1:41,2:02
1:55,2:04,2:11,2:32
2:25,2:35,2:42,3:03
2:53,3:04,3:12,3:35
3:09,3:20,3:28,3:51
3:25,3:36,3:44,4:07
3:53,4:04,4:13,4:37
4:12,4:22,4:31,4:55
4:23,4:32,4:41,5:05
4:42,4:51,5:00,5:24
4:54,5:03,5:12,5:37
5:12,5:20,5:28,5:51
5:25,5:33,5:40,6:02
5:42,5:51,5:58,6:18
5:54,6:03,6:10,6:30
6:13,6:22,6:28,6:47
6:23,6:32,6:38,6:57
6:39,6:48,6:54,7:12
6:53,7:02,7:08,7:26
7:25,7:33,7:39,7:55
8:23,8:31,8:37,8:53
9:23,9:31,9:36,9:52
10:23,10:31,10:36,10:50
11:22,11:30,11:35,11:49
12:19,12:27,12:31,12:44
1:17,1:25,1:31,-
2:03,2:11,2:17,-






