246 Downtown/Highland Monday to Friday
Georgia at Homer #54444, Capilano at Curling #61510, Edgemont at Ridgewood #54307, Montroyal at Glencanyon #54499 (E)
5:39,5:46,5:55
6:08,6:15,6:23
6:25,6:32,6:40
6:32,6:39,6:47
7:00,7:07,7:17
7:15,7:22,7:32
7:16,7:35,7:42,7:51
7:27,7:46,7:53,8:02
7:41,8:00,8:07,8:16
7:58,8:17,8:24,8:33
8:13,8:33,8:41,8:50
8:26,8:46,8:54,9:03
8:46,9:05,9:12,9:21
9:01,9:20,9:27,9:36
9:32,9:50,9:57,10:06
10:02,10:20,10:27,10:36
10:30,10:48,10:55,11:04
11:01,11:19,11:26,11:35
11:32,11:50,11:57,12:06
12:01,12:20,12:27,12:36
12:32,12:51,12:58,1:07
1:02,1:21,1:28,1:37
1:29,1:48,1:55,2:04
1:58,2:18,2:25,2:35
2:26,2:45,2:52,3:02
2:50,3:08,3:15,3:25
3:16,3:34,3:41,3:51
3:30,3:48,3:55,4:05
3:46,4:04,4:11,4:21
4:00,4:18,4:25,4:35
4:17,4:35,4:42,4:52
4:31,4:49,4:56,5:06
4:41,4:59,5:06,5:16
4:49,5:07,5:14,5:24
5:03,5:21,5:28,5:38
5:13,5:31,5:38,5:48
5:19,5:37,5:44,5:54
5:34,5:52,5:59,6:09
5:49,6:07,6:14,6:24
6:04,6:22,6:29,6:39
6:21,6:39,6:46,6:56
6:37,6:54,7:01,7:11
7:05,7:22,7:29,7:39
8:06,8:22,8:29,8:39
9:06,9:22,9:29,9:39
10:10,10:25,10:31,10:39
11:10,11:25,11:31,11:39
12:10,12:25,12:31,12:39
