249 Delbrook/Lonsdale Quay Monday to Friday
Lonsdale Quay Bay 5, Delbrook at Queens #54517, Montroyal at Glencanyon #54527 (E)
5:24,5:35,5:40
5:57,6:08,6:13
6:19,6:30,6:35
6:33,6:44,6:49
6:47,6:59,7:05
7:02,7:14,7:20
7:11,7:23,7:29
7:21,7:33,7:40
7:35,7:47,7:54
7:51,8:05,8:12
8:03,8:17,8:24
8:21,8:37,8:44
8:52,9:07,9:12
9:23,9:37,9:42
9:52,10:06,10:11
10:07,10:21,10:26
10:41,10:55,11:00
11:11,11:25,11:30
11:37,11:51,11:56
12:07,12:21,12:26
12:36,12:51,12:56
1:05,1:20,1:25
1:34,1:49,1:55
2:04,2:19,2:25
2:32,2:47,2:53
2:48,3:03,3:09
3:04,3:19,3:25
3:32,3:47,3:53
3:51,4:06,4:12
4:02,4:17,4:23
4:21,4:36,4:42
4:33,4:48,4:54
4:51,5:06,5:12
5:04,5:19,5:25
5:21,5:36,5:42
5:33,5:48,5:54
5:52,6:07,6:13
6:03,6:17,6:23
6:19,6:33,6:39
6:33,6:47,6:53
7:05,7:19,7:25
8:04,8:17,8:23
9:05,9:18,9:23
10:06,10:18,10:23
11:06,11:17,11:22
12:04,12:14,12:19
1:02,1:12,1:17
1:48,1:58,2:03
