249 Delbrook/Lonsdale Quay Monday to Friday
Montroyal at Glencanyon #54499, Delbrook at W Windsor #58328, Lonsdale Quay (E)
5:55,6:01,6:12
6:23,6:29,6:40
6:40,6:46,6:58
6:47,6:53,7:08
7:17,7:23,7:38
7:32,7:38,7:53
7:51,7:55,8:10
8:02,8:06,8:23
8:16,8:20,8:36
8:33,8:37,8:53
8:50,8:54,9:13
9:03,9:07,9:26
9:21,9:25,9:43
9:36,9:40,9:58
10:06,10:10,10:26
10:36,10:40,10:56
11:04,11:08,11:24
11:35,11:39,11:54
12:06,12:10,12:25
12:36,12:40,12:55
1:07,1:11,1:27
1:37,1:41,1:57
2:04,2:09,2:25
2:35,2:40,2:56
3:02,3:07,3:26
3:25,3:30,3:48
3:51,3:56,4:12
4:05,4:10,4:26
4:21,4:26,4:42
4:35,4:40,4:56
4:52,4:57,5:13
5:06,5:11,5:27
5:16,5:21,5:35
5:24,5:29,5:43
5:38,5:43,5:57
5:48,5:53,6:07
5:54,5:59,6:13
6:09,6:14,6:28
6:24,6:29,6:42
6:39,6:44,6:57
6:56,7:01,7:13
7:11,7:16,7:28
7:39,7:44,7:56
8:39,8:44,8:56
9:39,9:44,9:56
10:39,10:44,10:55
11:39,11:44,11:55
12:39,12:44,12:55
