
250 Dundarave / 250 Horseshoe Bay Monday to Friday
Georgia at Richards #60577, Park Royal Bay 2, Marine Dr at 25 St #54622, Horseshoe Bay Ferry (E)
-,5:16,5:25,-
-,5:28,5:37,6:01
5:35,5:50,5:59,6:23
-,5:53,6:02,-
6:05,6:20,6:29,6:53
6:23,6:32,-
6:18,6:33,6:42,-
6:20,6:35,6:44,7:08
6:35,6:50,6:59,7:23
6:40,6:55,7:04,-
6:45,7:00,7:11,7:35
7:00,7:15,7:26,-
7:05,7:23,7:34,7:58
7:10,7:28,7:39,-
7:20,7:38,-,-
7:20,7:38,7:49,-
7:25,7:43,7:54,-
7:30,7:48,7:59,8:24
7:40,7:58,8:09,-
7:50,8:08,8:19,-
8:00,8:18,8:29,-
8:05,8:23,8:34,8:59
8:10,8:28,8:39,-
8:17,8:35,8:46,-
8:20,8:38,8:49,9:14
8:30,8:48,8:59,-
8:35,8:53,-,-
8:40,8:58,9:09,-
8:50,9:08,9:19,9:44
8:55,9:13,9:24,-
8:58,9:16,-,-
9:00,9:18,9:29,-
9:12,9:30,-,-
9:15,9:33,9:44,-
9:20,9:38,-,-
9:22,9:40,9:51,10:16
9:30,9:48,9:59,-
9:45,10:03,10:14,-
9:52,10:09,10:20,10:45
10:00,10:17,10:28,-
10:15,10:32,10:43,-
10:22,10:39,10:50,11:15
10:30,10:47,10:58,-
10:45,11:02,11:13,-
10:52,11:09,11:20,11:44
11:00,11:17,11:28,-
11:15,11:32,11:43,-
11:22,11:39,11:50,12:14
11:30,11:47,11:58,-
11:45,12:02,12:13,-
11:52,12:09,12:20,12:44
12:00,12:17,12:28,-
12:15,12:32,12:43,-
12:22,12:39,12:50,1:14
12:30,12:47,12:58,-
12:45,1:02,1:13,-
12:52,1:09,1:20,1:44
1:00,1:17,1:28,-
1:15,1:32,1:43,-
1:22,1:39,1:50,2:14
1:30,1:47,1:58,-
1:45,2:02,2:13,-
1:52,2:09,2:20,2:44
2:00,2:17,2:28,-
2:15,2:32,2:43,-
2:22,2:39,2:50,3:14
2:30,2:47,2:58,-
-,-,3:09,-
2:45,3:02,3:13,-
2:52,3:09,3:20,3:44
3:00,3:17,3:28,-
3:15,3:32,3:43,-
3:22,3:39,3:50,4:14
3:30,3:47,3:58,-
3:42,3:59,4:10,-
3:50,4:07,4:18,4:42
3:50,4:07,4:18,-
4:00,4:17,4:28,-
4:03,4:20,4:31,4:55
4:12,4:29,-,-
4:12,4:29,4:40,-
4:20,4:37,4:48,5:12
4:24,4:41,4:52,-
4:35,4:52,5:03,5:27
4:42,5:00,5:11,-
4:48,5:06,5:17,-
4:50,5:08,5:19,5:43
5:00,5:18,5:29,-
5:08,5:26,5:37,-
5:12,5:30,5:41,6:05
5:20,5:38,5:49,6:13
5:24,5:42,5:53,-
5:33,5:51,6:02,6:26
5:36,5:54,6:05,-
5:48,6:06,6:17,-
5:50,6:08,6:19,6:43
6:05,6:23,6:33,6:57
6:15,6:33,6:43,-
6:25,6:43,6:53,7:17
6:35,6:50,7:00,7:24
6:40,6:55,7:05,-
6:52,7:07,7:17,7:41
7:05,7:20,-,-
7:10,7:25,7:35,-
7:20,7:35,7:45,8:09
7:40,7:55,8:05,-
7:50,8:05,8:15,8:39
8:00,8:15,8:25,-
8:20,8:35,8:45,9:09
8:35,8:50,9:00,-
8:50,9:05,9:15,9:39
9:05,9:20,9:30,9:54
9:20,9:35,9:45,-
9:35,9:50,10:00,10:24
10:05,10:20,10:29,10:53
10:35,10:50,10:59,11:23
11:05,11:20,11:29,11:53
11:35,11:50,11:59,-
12:10,12:25,12:36,1:00
12:40,12:55,1:06,-
1:10,1:25,1:36,-
