250 Vancouver route from Monday to Friday
Horseshoe Bay #54556, Marine Dr at 25 St #54592, Park Royal Bay 5, Georgia at Homer (E)
-, 5:34, 5:43, 6:00
-, 6:02, 6:11, 6:28
-, -, 6:12, 6:29
-, 6:13, 6:22, 6:39
q6:20, 6:29, 6:46
-, 6:03, 6:28, 6:37, 6:54
-, 6:32, 6:41, 6:58
-, 6:40, 6:49, 7:06
-, 6:47, 6:56, 7:13
6:33, 6:58, 7:07, 7:24
-, 7:08, 7:17, 7:34
-, 7:20, 7:29, 7:48
7:03, 7:28, 7:37, 7:56
-, 7:34, 7:43, 8:02
-, 7:39, 7:48, 8:07
7:15, 7:40, 7:49, 8:08
-, 7:52, 8:01, 8:20
7:33, 7:58, 8:07, 8:26
-, 8:08, 8:17, 8:36
7:45, 8:10, 8:19, 8:38
-, -, 8:24, -
-, -, 8:25, 8:44
-, 8:18, 8:29, 8:48
8:03, 8:28, 8:39, 8:58
-, 8:31, 8:40, 8:59
-, 8:32, 8:43, 9:02
-, 8:36, 8:47, 9:06
-, 8:43, 8:54, 9:13
-, 8:50, 9:01, 9:20
8:33, 8:58, 9:10, 9:28
-, 9:03, 9:14, 9:33
-, 9:13, 9:24, 9:43
-, 9:23, 9:34, 9:53
9:05, 9:29, 9:40, 9:59
-, 9:33, 9:44, 10:03
-, 9:49, 10:00, 10:19
9:33, 9:57, 10:08, 10:27
-, 10:04, 10:15, 10:34
-, 10:19, 10:30, 10:49
10:03, 10:27, 10:38, 10:57
-, 10:34, 10:45, 11:04
-, 10:49, 11:00, 11:19
10:33, 10:57, 11:09, 11:28
-, 11:04, 11:16, 11:35
-, 11:19, 11:31, 11:50
11:03, 11:27, 11:39, 12:00
-, 11:34, 11:46, 12:07
-, 11:49, 12:01, 12:22
11:33, 11:57, 12:09, 12:30
-, 12:04, 12:16, 12:37
-, 12:19, 12:31, 12:52
12:03, 12:27, 12:39, 1:00
-, 12:36, 12:48, 1:09
-, 12:51, 1:03, 1:24
12:33, 12:57, 1:09, 1:30
-, 1:06, 1:18, 1:39
-, 1:21, 1:33, 1:54
1:03, 1:27, 1:39, 2:00
-, 1:36, 1:48, 2:09
-, 1:51, 2:03, 2:24
1:33, 1:57, 2:09, 2:30
-, 2:06, 2:18, 2:39
-, 2:21, 2:33, 2:54
2:03, 2:27, 2:39, 3:00
-, 2:36, 2:48, 3:09
-, 2:51, 3:03, 3:27
2:33, 2:57, 3:09, 3:33
-, -, 3:15, 3:36
-, 3:06, 3:18, 3:42
-, 3:09, 3:19, -
-, 3:21, 3:33, 3:57
-, -, 3:34, 3:58
3:03, 3:27, 3:39, 4:03
-, -, 3:40, 4:04
-, 3:40, 3:52, 4:16
-, 3:49, 4:01, 4:25
3:33, 3:57, 4:09, 4:33
-, 4:10, 4:22, 4:46
-, 4:19, 4:31, 4:55
-, -, 4:35, 4:59
4:03, 4:27, 4:39, 5:03
-, 4:34, 4:46, 5:10
-, 4:46, 4:58, 5:22
-, 4:55, 5:07, 5:31
4:33, 4:57, 5:09, 5:33
-, 5:12, 5:24, 5:48
-, 5:20, 5:32, 5:56
5:03, 5:27, 5:39, 6:03
-, 5:36, 5:48, 6:12
-, 5:48, 6:00, 6:24
5:33, 5:57, 6:08, 6:32
-, 6:00, 6:11, 6:35
-, 6:09, 6:19, 6:43
-, 6:17, 6:27, 6:51
6:03, 6:27, 6:37, 6:56
-, 6:40, 6:50, 7:09
6:35, 6:59, 7:09, 7:28
-, 7:15, 7:24, 7:43
7:05, 7:29, 7:38, 7:57
-, 7:36, 7:45, 8:04
7:35, 7:59, 8:08, 8:27
-, 8:10, 8:19, 8:38
8:05, 8:27, 8:36, 8:55
-, 8:40, 8:49, 9:05
8:35, 8:57, 9:06, 9:22
-, 9:12, 9:21, 9:37
9:05, 9:26, 9:35, 9:51
9:35, 9:56, 10:05, 10:21
10:10, 10:31, 10:39, 10:55
10:40, 11:01, 11:09, 11:25
11:10, 11:31, 11:39, 11:55
11:40, 12:01, 12:10, 12:29
12:10, 12:31, 12:41, 1:00
