251 Park Royal / 251 Queens
Marine at 25 St #54622, Marine at 17 St #54600, Park Royal Village (E)
6:20, 6:38, 6:42
6:50, 7:08, 7:12
7:25, 7:43, 7:47
7:50, 8:08, 8:12
8:25, 8:43, 8:47
8:50, 9:08, 9:12
9:25, 9:43, 9:47
9:50, 10:08, 10:12
10:50, 11:08, 11:12
11:50, 12:08, 12:12
12:50, 1:08, 1:12
1:50, 2:08, 2:13
2:50, 3:08, 3:13
3:20, 3:38, 3:43
3:50, 4:08, 4:13
4:20, 4:38, 4:42
4:50, 5:08, 5:11
5:20, 5:38, 5:41
5:50, 6:08, 6:11
6:20, 6:38, 6:41
6:50, 7:08, 7:11
7:50, 8:07, 8:10
8:50, 9:07, 9:10
9:50, 10:06, 10:09
10:50, 11:06, 11:09
