252 Park Royal / 252 Inglewood
Park Royal Bay 2, Inglewood at 15 St #54694, Marine at 25 St (E)
6.00, 6.11, 6.18
6.30, 6.41, 6.48
7.05, 7.16, 7.23
7.30, 7.41, 7.48
8.05, 8.17, 8.24
8.30, 8.42, 8.49
9.05, 9.17, 9.24
9.30, 9.42, 9.48
10.30, 10.42, 10.48
11.30, 11.43, 11.49
12.30, 12.43, 12.49
1.30, 1.43, 1.49
2.30, 2.43, 2.49
3.00, 3.13, 3.19
3.30, 3.42, 3.48
4.00, 4.12, 4.18
4.30, 4.42, 4.48
5.00, 5.12, 5.18
5.30, 5.42, 5.48
6.00, 6.12, 6.18
6.30, 6.42, 6.48
7.30, 7.40, 7.46
8.30, 8.40, 8.46
9.30, 9.40, 9.46
10.30, 10.40, 10.46
11.30, 11.40, 11.46
