252 Park Royal / 252 Inglewood
Marine at 25 St #54592, Marine at 17 St #54600, Park Royal Village (E)
6.40, 6.53, 6.58
7.10, 7.23, 7.28
7.40, 7.53, 7.58
8.10, 8.23, 8.28
8.40, 8.53, 8.58
9.10, 9.23, 9.28
9.40, 9.53, 9.58
10.30, 10.43, 10.48
11.30, 11.43, 11.48
12.30, 12.43, 12.48
1.30, 1.43, 1.48
2.20, 2.33, 2.38
3.10, 3.23, 3.28
3.40, 3.53, 3.58
4.10, 4.23, 4.28
4.40, 4.53, 4.58
5.10, 5.23, 5.28
5.40, 5.53, 5.58
6.25, 6.38, 6.43
6.40, 6.53, 6.58
7.25, 7.37, 7.42
8.25, 8.37, 8.42
9.25, 9.37, 9.42
10.25, 10.37, 10.42
