253 Park Royal / 253 Caulfeild
Caulfeild Village #54704, Park Royal Village #54604 (E), Georgia at Homer (E)
6.36, 6.57, 7.15
7.06, 7.27, 7.45
7.37, 7.58, 8.18
8.05, 8.26, 8.46
8.58, 9.20, -
9.40, 10.02, -
10.40, 11.02, -
11.40, 12.03, -
12.40, 1.03, -
1.40, 2.02, 2.24
2.22, 2.44, 3.06
2.52, 3.14, 3.39
3.22, 3.44, 4.09
3.52, 4.14, 4.39
4.22, 4.44, 5.09
4.52, 5.14, 5.39
5.23, 5.46, -
5.53, 6.14, 6.39
6.23, 6.44, 7.04
6.54, 7.15, 7.35
7.24, 7.45, -
8.39, 9.00, -
8.39, 8.59, -
10.47, 11.08, -






