254 British Properties / Park Royal
Georgia at Richards #60577, Park Royal Bay 4, Eyremount at Highland #54745, Bonnymuir at Glenmore #60955, Bonnymuir at Glenmore #54765, Marine Dr at 14th #54602, Park Royal Bay 5, Georgia at Homer (E)
-,6.53,-,7.03,-,7.31,7.34,7.53
-,7.23,-,7.33,-,8.01,8.04,8.23
7.37,7.55,-,8.05,-,8.33,8.36,8.55
8.10,8.28,8.44,-,8.57,-,9.12,-
-,9.27,9.43,-,9.56,-,10.11,-
-,10.27,10.43,-,10.56,-,11.11,-
-,11.27,11.43,-,11.56,-,12.11,-
-,12.27,12.43,-,12.56,-,1.11,-
-,1.27,1.43,-,1.56,-,2.11,-
-,2.27,2.43,-,2.56,-,3.11,3.35
-,2.57,3.13,-,3.26,-,3.41,4.05
-,3.37,3.53,-,4.06,-,4.21,4.45
-,4.17,4.33,-,4.46,-,5.01,5.25
4.25,4.43,4.59,-,5.12,-,5.27,5.51
4.55,5.13,5.29,-,5.42,-,5.57,6.21
-,5.27,5.43,-,5.56,-,6.11,-
-,6.27,6.43,-,6.56,-,7.11,-
-,7.27,7.43,-,7.56,-,8.11,-
-,9.27,9.39,-,9.52,-,10.07,-
-,10.57,11.09,-,11.22,-,11.37,-
