255 Capilano University
Marine at 25 St #54592, Park Royal Bay 5, Marine at Hamilton #54407, Capilano University (E)
5.45, 5.54, 6.02, 6.25
6.15, 6.24, 6.32, 6.55
6.45, 6.54, 7.02, 7.25
7.05, 7.14, 7.22, 7.48
7.25, 7.34, 7.42, 8.09
7.45, 7.54, 8.02, 8.29
8.05, 8.14, 8.22, 8.49
8.25, 8.34, 8.42, 9.09
8.45, 8.54, 9.02, 9.29
9.05, 9.14, 9.22, 9.48
9.25, 9.34, 9.42, 10.08
9.45, 9.54, 10.02, 10.28
10.05, 10.14, 10.22, 10.49
10.25, 10.34, 10.42, 11.09
10.45, 10.54, 11.02, 11.29
11.05, 11.15, 11.23, 11.50
11.25, 11.35, 11.44, 12.11
11.45, 11.55, 12.04, 12.31
12.05, 12.15, 12.24, 12.51
12.25, 12.35, 12.44, 1.11
12.45, 12.55, 1.04, 1.31
1.05, 1.15, 1.24, 1.51
1.25, 1.35, 1.44, 2.11
1.45, 1.55, 2.04, 2.31
2.05, 2.15, 2.24, 2.55
2.25, 2.35, 2.44, 3.15
2.45, 2.55, 3.04, 3.35
3.05, 3.15, 3.25, 3.56
3.25, 3.35, 3.45, 4.16
3.45, 3.55, 4.05, 4.36
4.05, 4.15, 4.25, 4.56
4.25, 4.35, 4.45, 5.16
4.45, 4.55, 5.05, 5.36
5.05, 5.15, 5.25, 5.56
5.25, 5.35, 5.45, 6.16
5.45, 5.55, 6.05, 6.33
6.05, 6.14, 6.24, 6.52
6.30, 6.39, 6.49, 7.17
7.00, 7.09, 7.18, 7.43
7.30, 7.38, 7.47, 8.12
8.00, 8.08, 8.15, 8.37
8.20, 8.28, 8.35, 8.57
8.50, 8.58, 9.05, 9.27
9.30, 9.38, 9.45, 10.07
-, 10.12, 10.19, 10.41
-, 10.49, 10.56, 11.18
-, 11.18, 11.25, 11.47
-, 11.55, 12.02, 12.25
-, 12.25, 12.34, 12.57
-, 1.11, 1.20, 1.43
