255 Dundarave
Capilano University Bay 3, E 15 St at Grand Blvd #54778, Marine at Hamilton #54382, Park Royal Bay 2, Marine at 25 St (E)
-, 5.07, 5.19, 5.24, 5.34
5.45, 5.55, 6.07, 6.12, 6.22
6.15, 6.25, 6.37, 6.42, 6.52
6.45, 6.55, 7.07, 7.15, 7.27
7.05, 7.15, 7.27, 7.35, 7.47
7.25, 7.37, 7.54, 8.02, 8.14
7.45, 7.57, 8.14, 8.22, 8.34
8.05, 8.17, 8.34, 8.42, 8.54
8.25, 8.37, 8.54, 9.02, 9.14
8.45, 8.57, 9.14, 9.22, 9.34
9.05, 9.17, 9.34, 9.42, 9.54
9.25, 9.37, 9.54, 10.02, 10.14
9.45, 9.57, 10.14, 10.22, 10.34
10.05, 10.17, 10.34, 10.42, 10.54
10.25, 10.37, 10.54, 11.02, 11.14
10.45, 10.57, 11.14, 11.22, 11.34
11.05, 11.17, 11.34, 11.42, 11.54
11.25, 11.37, 11.54, 12.02, 12.14
11.45, 11.57, 12.14, 12.22, 12.34
12.05, 12.17, 12.34, 12.42, 12.54
12.25, 12.37, 12.54, 1.02, 1.14
12.45, 12.57, 1.14, 1.22, 1.34
1.05, 1.17, 1.34, 1.42, 1.54
1.25, 1.37, 1.54, 2.02, 2.14
1.45, 1.57, 2.14, 2.22, 2.34
2.05, 2.17, 2.34, 2.42, 2.54
2.25, 2.37, 2.54, 3.02, 3.14
2.45, 2.57, 3.14, 3.22, 3.34
3.05, 3.17, 3.35, 3.43, 3.55
3.25, 3.37, 3.55, 4.03, 4.15
3.45, 3.57, 4.15, 4.23, 4.35
4.05, 4.17, 4.35, 4.43, 4.55
4.25, 4.37, 4.55, 5.03, 5.15
4.45, 4.57, 5.15, 5.23, 5.35
5.05, 5.17, 5.35, 5.43, 5.55
5.25, 5.37, 5.55, 6.03, 6.15
5.45, 5.57, 6.15, 6.23, 6.34
6.05, 6.17, 6.33, 6.41, 6.52
6.30, 6.42, 6.58, 7.06, 7.17
7.00, 7.10, 7.26, 7.33, 7.44
7.30, 7.40, 7.56, 8.03, 8.14
8.00, 8.10, 8.25, 8.32, 8.43
8.30, 8.40, 8.55, 9.02, 9.13
9.00, 9.10, 9.21, 9.28, 9.39
9.35, 9.45, 9.56, 10.02, -
10.12, 10.22, 10.33, 10.39, -
10.41, 10.51, 11.02, 11.08, -
11.18, 11.28, 11.39, 11.45, -
11.47, 11.57, 12.08, 12.15, -
12.25, 12.37, 12.54, 1.01, -
12.57, 1.09, 1.26, 1.33, -
