257 Horseshoe Bay Express
Dunsmuir at Cambie #59558, Park Royal Bay 2, Horseshoe Bay Ferry Terminal (E)
-, 5.00, 5.15, 5.33
5.20, 5.35, 5.53
5.50, 6.05, 6.23
6.15, 6.31, 6.49
6.36, 6.52, 7.10
6.59, 7.16, 7.35
7.17, 7.34, 7.53
7.36, 7.54, 8.14
8.00, 8.18, 8.38
8.15, 8.33, 8.53
8.35, 8.53, 9.13
8.50, 9.08, 9.28
9.10, 9.28, 9.48
9.35, 9.53, 10.13
9.55, 10.13, 10.33
10.15, 10.33, 10.53
10.35, 10.53, 11.13
10.55, 11.13, 11.33
11.15, 11.33, 11.53
11.35, 11.53, 12.13
11.55, 12.13, 12.33
12.10, 12.28, 12.48
12.31, 12.49, 1.09
12.50, 1.08, 1.28
1.10, 1.28, 1.48
1.30, 1.48, 2.08
1.50, 2.08, 2.28
2.10, 2.28, 2.48
2.25*, 2.43*, 3.03*
2.30, 2.48, 3.08
2.50, 3.08, 3.28
3.10, 3.28, 3.48
3.30, 3.48, 4.08
3.50, 4.08, 4.28
4.05*, 4.24*, 4.44*
4.15, 4.34, 4.54
4.35, 4.54, 5.14
4.55, 5.14, 5.34
5.15, 5.34, 5.54
5.35, 5.53, 6.13
5.55, 6.13, 6.33
6.10*, 6.27*, 6.47*
6.15, 6.32, 6.52
6.35, 6.52, 7.12
6.55, 7.12, 7.32
7.25, 7.42, 8.02
7.55*, 8.12*, 8.32*
7.55, 8.12, 8.32
8.25, 8.41, 9.00
9.05, 9.21, 9.40
10.05, 10.21, 10.39
11.05, 11.21, 11.39
