257 Vancouver Express
Horseshoe Bay Ferry Terminal #54556, Park Royal Bay 5, Dunsmuir at Cambie (E)
5.50, 6.08, 6.22
6.20, 6.38, 6.52
6.50, 7.08, 7.22
7.13, 7.32, 7.49
7.25, 7.44, 8.01
7.40, 7.59, 8.16
8.05, 8.24, 8.41
8.20, 8.40, 8.57
8.45, 9.05, 9.22
9.05, 9.24, 9.41
9.20, 9.39, 9.56
9.40, 9.59, 10.16
10.00, 10.19, 10.37
10.20, 10.39, 10.57
10.45, 11.05, 11.23
11.05, 11.25, 11.44
11.20, 11.40, 11.59
11.40, 12.00, 12.20
12.00, 12.20, 12.38
12.20, 12.40, 12.58
12.40, 1.00, 1.18
1.00, 1.20, 1.39
1.20, 1.40, 1.59
1.40, 2.00, 2.20
2.00, 2.20, 2.44
2.20, 2.40, 3.04
2.40, 3.00, 3.24
3.00, 3.20, 3.44
3.13*, 3.33*, 3.57*
3.25, 3.45, 4.09
3.45, 4.05, 4.29
4.05, 4.25, 4.49
4.20, 4.40, 5.04
4.45, 5.05, 5.29
5.00, 5.20, 5.43
5.13*, 5.33*, 5.56*
5.20, 5.40, 6.03
5.40, 5.59, 6.20
6.00, 6.19, 6.39
6.20, 6.39, 6.59
6.40, 6.59, 7.18
7.05, 7.23, 7.41
7.13*, 7.31*, 7.49*
7.20, 7.38, 7.56
7.40, 7.58, 8.16
8.15, 8.33, 8.50
8.45*, 9.03*, 9.20*
8.50, 9.08, 9.25
9.20, 9.38, 9.55
10.00, 10.18, 10.35
11.00, 11.18, 11.35
12.05, 12.23, 12.40
