262 Lions Bay-Brunswick / 262 Caulfeild
Caulfeild Village #60887, Horseshoe Bay Ferry #54556, Crosscreek at Oceanview #61530, Brunswick Beach (E)
-, 6.27, 6.34, 6.46, 6.48
7.18, 7.25, 7.40, 7.43
8.18, 8.25, 8.40, 8.43
9.18, 9.25, 9.40, 9.43
10.18, 10.25, 10.40, 10.43
11.18, 11.25, 11.40, 11.43
12.18, 12.25, 12.40, 12.43
1.13, 1.20, 1.35, 1.38
2.13, 2.20, 2.35, 2.38
3.13, 3.20, 3.35, 3.38
4.13, 4.20, 4.35, 4.38
5.11, 5.18, 5.33, 5.36
6.13, 6.20, 6.35, 6.38
7.08, 7.15, 7.30, 7.33
8.03*, 8.10*, 8.25*, 8.28*
9.03*, 9.10*, 9.25*, 9.28*
10.03*, 10.10*, 10.25*, 10.28*
11.04*, 11.11*, 11.26*, 11.29*
