280 Snug Cove
Windjammer at Arbutus Pt Rd (E), Bowen Bay (E), Tunstall at Whitesails (E), Adams at Cowans (E), Artisan Square (E), Snug Cove (E)
4.45, 4.55, 5.00, 5.05, -, 5.15
5.45, 5.55, 6.00, 6.05, -, 6.15
6.50, 7.00, 7.05, 7.10, -, 7.20
7.55, 8.05, 8.10, 8.15, 8.20, 8.25
9.00, 9.10, 9.15, 9.20, 9.25, 9.30
10.10, 10.20, 10.25, 10.30, 10.35, 10.40
12.25, 12.35, 12.40, 12.45, 12.50, 12.55
2.15, 2.25, 2.30, 2.35, 2.40, 2.45
3.20, 3.30, 3.35, 3.40, 3.45, 3.50
4.25, 4.35, 4.40, 4.45, 4.50, 4.55
5.35, 5.45, 5.50, 5.55, 6.00, 6.05
6.40, 6.50, 6.55, 7.00, 7.05, 7.10
8.00, 8.10, 8.15, 8.20, 8.25, 8.30
