28 Joyce Station Monday-Friday
Phibbs Exchange Bay 7,Kootenay Loop Bay 8,Gilmore Station Bay 3,Ingleton Ave at Sunset St #51778,Joyce Station (E)
4.45,4.50,4.58,5.07,5.16
5.06,5.11,5.19,5.28,5.37
-,-,5.32,5.39,5.48
-,-,5.45,5.52,6.01
5.48,5.53,6.01,6.10,6.19
-,-,6.02,6.09,6.18
6.05,6.10,6.19,6.28,6.38
6.22,6.27,6.36,6.45,6.55
6.37,6.42,6.52,7.00,7.10
6.51,6.56,7.06,7.14,7.24
7.08,7.13,7.23,7.31,7.41
7.22,7.28,7.38,7.48,7.58
7.39,7.45,7.56,8.06,8.16
7.51,7.57,8.09,8.19,8.30
8.06,8.12,8.24,8.34,8.45
8.21,8.27,8.39,8.50,9.01
8.36,8.42,8.54,9.05,9.15
8.51,8.57,9.09,9.19,9.29
9.07,9.13,9.24,9.33,9.43
9.21,9.27,9.38,9.47,9.57
9.37,9.43,9.54,10.03,10.13
9.51,9.57,10.08,10.17,10.27
10.07,10.13,10.24,10.33,10.42
10.22,10.28,10.39,10.48,10.57
10.37,10.43,10.54,11.03,11.12
10.52,10.58,11.09,11.18,11.27
11.06,11.12,11.23,11.32,11.42
11.21,11.27,11.38,11.47,11.57
11.36,11.42,11.53,12.02,12.12
11.51,11.57,12.08,12.17,12.27
12.06,12.12,12.23,12.32,12.42
12.21,12.27,12.38,12.47,12.57
12.37,12.43,12.54,1.03,1.12
12.52,12.58,1.09,1.18,1.27
1.07,1.13,1.24,1.33,1.42
1.22,1.28,1.39,1.48,1.57
1.37,1.43,1.54,2.03,2.12
1.52,1.58,2.09,2.18,2.27
2.07,2.13,2.24,2.33,2.43
2.22,2.27,2.39,2.48,2.58
2.35,2.40,2.53,3.04,3.14
2.50,2.55,3.08,3.19,3.29
3.05,3.10,3.24,3.35,3.45
3.20,3.25,3.39,3.50,4.00
3.34,3.40,3.53,4.04,4.14
3.50,3.56,4.09,4.20,4.30
4.05,4.11,4.26,4.38,4.48
4.21,4.27,4.42,4.54,5.04
4.37,4.43,4.57,5.09,5.19
4.52,4.58,5.12,5.23,5.33
5.07,5.13,5.27,5.38,5.48
5.24,5.30,5.44,5.55,6.05
5.41,5.47,6.00,6.11,6.21
5.55,6.01,6.14,6.25,6.35
6.12,6.17,6.29,6.38,6.47
6.26,6.31,6.43,6.52,7.01
6.38,6.43,6.55,-,-
6.49,6.54,7.06,7.14,7.23
7.07,7.11,7.22,7.30,7.39
7.24,7.28,7.39,7.47,7.56
7.39,7.43,7.54,8.02,8.11
8.00,8.03,8.14,8.21,8.30
8.25,8.28,8.39,8.46,8.55
8.55,8.58,9.09,9.16,9.25
9.23,9.26,9.36,9.43,9.51
9.53,9.56,10.06,10.13,10.21
10.22,10.25,10.35,10.42,10.50
10.49,10.52,11.02,11.09,11.17
11.21,11.24,11.34,11.40,11.48
11.51,11.54,12.04,12.10,12.18
12.27,12.30,12.40,12.45,12.52
12.57,1.00,1.10,1.15,1.22
2.01,2.04,-,-,-
