28 Phibbs Exchange MONDAY TO FRIDAY
Joyce Station Bay 2,Ingleton Ave at Sunset St #51732,Henning at Gilmore #52724,Kootenay Loop Bay 6,Phibbs Exchange (E)
-,-,-,5.29,5.37
-,-,-,5.34,5.42
5.21,5.31,5.39,5.48,5.56
-,-,-,5.52,6.00
-,-,-,6.01,6.09
5.42,5.52,6.00,6.09,6.17
5.55,6.04,6.12,6.21,6.29
6.08,6.18,6.26,6.36,6.44
6.24,6.33,6.42,6.52,7.01
6.36,6.45,6.54,7.04,7.13
6.49,6.59,7.08,7.18,7.27
7.03,7.14,7.24,7.34,7.45
7.17,7.28,7.38,7.49,8.00
7.32,7.43,7.53,8.05,8.16
7.48,7.59,8.09,8.21,8.31
8.05,8.16,8.26,8.36,8.46
8.21,8.32,8.42,8.52,9.02
8.35,8.46,8.56,9.06,9.15
8.51,9.02,9.12,9.22,9.31
9.06,9.16,9.26,9.36,9.46
9.21,9.31,9.41,9.51,10.01
9.36,9.46,9.56,10.06,10.15
9.49,9.59,10.09,10.19,10.28
10.05,10.15,10.25,10.35,10.44
10.21,10.31,10.41,10.51,11.00
10.36,10.46,10.56,11.06,11.15
10.51,11.01,11.11,11.21,11.30
11.06,11.16,11.26,11.36,11.45
11.21,11.31,11.41,11.51,12.00
11.36,11.46,11.56,12.06,12.15
11.51,12.01,12.11,12.21,12.30
12.06,12.16,12.26,12.36,12.46
12.21,12.31,12.41,12.51,1.01
12.36,12.46,12.56,1.06,1.16
12.51,1.01,1.11,1.21,1.31
1.06,1.16,1.26,1.36,1.46
1.21,1.31,1.41,1.51,2.01
1.35,1.46,1.56,2.06,2.16
1.49,2.00,2.10,2.20,2.30
2.04,2.15,2.25,2.35,2.45
2.19,2.30,2.40,2.50,3.00
2.34,2.45,2.55,3.05,3.14
2.49,3.00,3.10,3.20,3.29
3.04,3.15,3.26,3.36,3.45
3.19,3.30,3.41,3.51,4.00
3.34,3.46,3.57,4.07,4.16
3.50,4.02,4.13,4.23,4.32
4.05,4.17,4.28,4.38,4.47
4.19,4.31,4.42,4.53,5.02
4.36,4.48,4.59,5.10,5.19
4.53,5.05,5.16,5.26,5.35
5.09,5.21,5.31,5.41,5.50
5.24,5.36,5.46,5.56,6.05
5.38,5.50,6.00,6.10,6.19
5.53,6.05,6.15,6.24,6.33
6.11,6.23,6.33,6.42,6.50
6.26,6.38,6.48,6.57,7.05
6.42,6.52,7.01,7.10,7.18
6.57,7.07,7.16,7.25,7.33
7.13,7.23,7.32,7.41,7.49
7.28,7.38,7.47,7.56,8.04
7.44,7.54,8.02,8.11,8.19
8.15,8.25,8.33,8.42,8.50
8.42,8.52,9.00,9.09,9.17
9.12,9.22,9.30,9.39,9.47
9.40,9.50,9.58,10.07,10.15
10.09,10.19,10.27,10.36,10.44
10.40,10.50,10.58,11.07,11.15
11.11,11.20,11.28,11.36,11.44
11.43,11.52,12.00,12.08,12.16
12.13,12.22,12.30,12.38,12.46
12.57,1.06,1.13,1.20,-
