R2 Marine Dr to Park Royal Monday to Friday
Phibbs Exchange Bay 3, Lonsdale Quay Bay 3 (E), Marine at Hamilton #54382 (E), Park Royal (E)
5:09,5:19,5:26,5:33
5:24,5:34,5:41,5:48
5:36,5:46,5:53,6:00
5:48,5:58,6:05,6:12
6:00,6:11,6:18,6:26
6:10,6:21,6:28,6:36
6:20,6:31,6:38,6:46
6:30,6:41,6:48,6:56
6:40,6:51,6:58,7:06
6:52,7:03,7:10,7:18
7:01,7:14,7:22,7:32
7:11,7:24,7:32,7:42
7:21,7:34,7:42,7:52
7:31,7:44,7:52,8:02
7:41,7:54,8:02,8:12
7:51,8:04,8:12,8:22
8:01,8:14,8:22,8:32
8:11,8:24,8:32,8:42
8:21,8:34,8:42,8:52
8:31,8:44,8:52,9:02
8:41,8:54,9:02,9:12
8:51,9:04,9:12,9:22
9:04,9:17,9:25,9:35
9:19,9:32,9:40,9:50
9:29,9:42,9:50,10:00
9:40,9:53,10:01,10:11
9:55,10:18,10:23,10:29
10:09,10:32,10:36,10:42
10:23,10:46,10:50,10:56
10:38,11:01,11:05,11:11
10:52,11:15,11:19,11:25
11:08,11:32,11:36,11:42
11:24,11:48,11:52,11:58
11:38,12:02,12:06,12:12
11:54,12:18,12:22,12:28
12:09,12:33,12:37,12:43
12:25,12:49,12:53,12:59
12:39,1:03,1:07,1:13
12:55,1:19,1:23,1:29
1:08,1:33,1:37,1:43
1:25,1:50,1:54,2:00
1:38,2:03,2:07,2:13
1:55,2:20,2:24,2:30
2:10,2:35,2:39,2:45
2:19,2:34,2:43,2:54
2:29,2:44,2:53,3:04
2:41,2:56,3:05,3:16
2:49,3:04,3:13,3:24
2:59,3:14,3:23,3:34
3:11,3:27,3:35,3:47
3:24,3:40,3:48,4:00
3:29,3:45,3:53,4:05
3:39,3:55,4:03,4:15
3:51,4:07,4:15,4:27
4:03,4:18,4:27,4:38
4:15,4:30,4:39,4:50
4:22,4:37,4:46,4:57
4:30,4:45,4:54,5:05
4:40,4:55,5:04,5:15
4:50,5:05,5:14,5:25
5:00,5:15,5:23,5:34
5:10,5:25,5:33,5:44
5:20,5:35,5:43,5:54
5:32,5:46,5:54,6:04
5:44,5:58,6:06,6:16
5:56,6:10,6:18,6:28
6:08,6:32,6:35,6:41
6:23,6:47,6:50,6:56
6:38,7:02,7:05,7:11
6:53,7:17,7:20,7:26
7:08,7:30,7:33,7:37
7:23,7:45,7:48,7:52
7:38,8:00,8:03,8:07
7:53,8:15,8:18,8:22
8:08,8:30,8:33,8:37
8:23,8:45,8:48,8:52
8:38,9:00,9:03,9:07
8:53,9:15,9:18,9:22
9:08,9:30,9:33,9:37
9:24,9:46,9:49,9:53
9:39,10:01,10:04,10:08
9:54,10:16,10:19,10:23
10:09,10:30,10:32,10:36
10:24,10:45,10:47,10:51
10:39,11:00,11:02,11:06
10:54,11:15,11:17,11:21
11:09,11:30,11:32,11:36
11:24,11:45,11:47,11:51
11:40,12:01,12:03,12:07
11:54,12:15,12:17,12:21
12:09,12:30,12:32,12:36
12:24,12:45,12:47,12:51
12:39,1:00,1:02,1:06
12:55,1:16,1:18,1:22
1:34,1:55,1:57,2:01
