R2 Marine Dr to Phibbs Exchange Monday to Friday
Park Royal Bay 5, Marine at Hamilton #54407 (E), Lonsdale Quay Bay 7 (E), Phibbs Exchange (E)
5:41,5:49,5:55,6:08
5:56,6:04,6:10,6:23
6:08,6:16,6:22,6:35
6:20,6:28,6:34,6:47
6:33,6:41,6:47,7:00
6:45,6:53,6:59,7:12
6:57,7:05,7:11,7:24
7:09,7:17,7:23,7:36
7:20,7:28,7:34,7:47
7:30,7:38,7:44,7:57
7:40,7:48,7:54,8:07
7:50,7:58,8:04,8:17
8:00,8:09,8:16,8:30
8:10,8:19,8:26,8:40
8:20,8:29,8:36,8:50
8:30,8:39,8:46,9:00
8:40,8:49,8:56,9:10
8:50,8:59,9:06,9:20
9:00,9:09,9:16,9:30
9:10,9:19,9:26,9:40
9:20,9:29,9:36,9:50
9:32,9:40,9:47,10:00
9:45,9:53,10:00,10:13
9:58,10:07,10:15,10:28
10:12,10:20,10:28,10:41
10:26,10:34,10:42,10:55
10:41,10:49,10:57,11:10
10:56,11:04,11:12,11:25
11:11,11:19,11:27,11:44
11:26,11:34,11:42,11:59
11:41,11:50,11:58,12:15
11:55,12:04,12:12,12:29
12:10,12:19,12:27,12:44
12:24,12:33,12:41,12:58
12:39,12:48,12:56,1:13
12:54,1:03,1:11,1:28
1:09,1:19,1:27,1:43
1:24,1:34,1:42,1:58
1:39,1:49,1:57,2:16
1:54,2:04,2:12,2:31
2:10,2:19,2:27,2:46
2:24,2:33,2:41,3:00
2:38,2:49,2:57,3:15
2:52,3:03,3:11,3:29
3:04,3:15,3:24,3:42
3:16,3:27,3:36,3:54
3:28,3:39,3:48,4:06
3:40,3:51,4:00,4:18
3:51,4:02,4:11,4:29
4:01,4:13,4:22,4:41
4:11,4:23,4:32,4:51
4:21,4:33,4:42,5:01
4:31,4:43,4:52,5:11
4:41,4:53,5:02,5:21
4:51,5:03,5:12,5:31
5:00,5:11,5:19,5:37
5:10,5:21,5:29,5:47
5:21,5:32,5:40,5:58
5:31,5:42,5:50,6:08
5:41,5:52,6:00,6:18
5:51,6:02,6:10,6:28
6:01,6:11,6:20,6:37
6:11,6:21,6:30,6:47
6:21,6:31,6:40,6:57
6:32,6:42,6:51,7:08
6:43,6:53,7:02,7:19
6:55,7:05,7:14,7:31
7:08,7:18,7:25,7:41
7:20,7:28,7:35,7:51
7:33,7:41,7:48,8:04
7:44,7:52,7:59,8:15
8:01,8:08,8:15,8:31
8:15,8:22,8:29,8:45
8:30,8:37,8:44,9:00
8:46,8:53,9:00,9:16
9:00,9:07,9:13,9:29
9:14,9:21,9:27,9:43
9:30,9:37,9:43,9:59
9:44,9:51,9:57,10:13
10:00,10:06,10:12,10:27
10:15,10:21,10:27,10:42
10:30,10:36,10:42,10:57
10:44,10:50,10:56,11:11
10:59,11:05,11:11,11:26
11:14,11:20,11:26,11:40
11:29,11:35,11:41,11:55
11:44,11:50,11:56,12:10
11:59,12:05,12:11,12:25
12:14,12:20,12:26,12:40
12:29,12:35,12:41,12:55
12:44,12:50,12:56,1:10
12:59,1:05,1:11,1:25
1:14,1:20,1:26,1:40
1:37,1:43,1:49,2:03
2:08,2:14,2:20,2:34
